model,UPC,short_name,long_name,brand,shipping_type,quantity,list,Shipping Cost
1660.681.002,012611497490,American Standard 1660.681.002,American Standard 1660.681.002 Chrome 6-3/4-in Modern Rain Showerhead,American Standard,Ground,0,130,8
1660.681.295,012611497506,American Standard 1660.681.295,American Standard 1660.681.295 Satin 6-3/4-in Modern Rain Showerhead,American Standard,Ground,0,182,8
1660.683.002,012611414725,American Standard 1660.683.002,American Standard 1660.683.002 Chrome 10-in Modern Rain Showerhead,American Standard,Ground,1,225,8
1660.683.295,012611414763,American Standard 1660.683.295,American Standard 1660.683.295 Satin 10-in Modern Rain Showerhead,American Standard,Ground,0,337,8
1660.688.002,012611497476,American Standard 1660.688.002,American Standard 1660.688.002 Chrome 8-in Square Rain Showerhead,American Standard,Ground,0,180,8
1660.688.295,012611497483,American Standard 1660.688.295,American Standard 1660.688.295 Satin 8-in Square Rain Showerhead,American Standard,Ground,0,252,8
1660.710.002,012611408489,American Standard 1660.710.002,American Standard 1660.710.002 Chrome Water-Saving Showerhead,American Standard,Ground,6,25,8
1660.711.002,012611471322,American Standard 1660.711.002,American Standard 1660.711.002 Chrome Water-Saving Vandal-Resistant Showerhead,American Standard,Ground,0,30,8
1660.715.002,012611408496,American Standard 1660.715.002,American Standard 1660.715.002 Chrome Transitional Water-Saving Showerhead,American Standard,Ground,0,46,8
1660.717.002,012611409301,American Standard 1660.717.002,American Standard 1660.717.002 Chrome Transitional 3-Function Water-Saving Showerhead,American Standard,Ground,2,69,8
1660.717.295,012611410437,American Standard 1660.717.295,American Standard 1660.717.295 Satin Transitional 3-Function Water-Saving Showerhead,American Standard,Ground,0,101,8
1660.718.002,012611471339,American Standard 1660.718.002,American Standard 1660.718.002 Chrome Transitional 3-Function Water-Saving Vandal-Resistant Showerhead,American Standard,Ground,0,74,8
1660.741.002,012611445545,American Standard 1660.741.002,American Standard 1660.741.002 Chrome Transitional Water-Saving Handshower,American Standard,Ground,0,62,8
1660.741.295,012611445576,American Standard 1660.741.295,American Standard 1660.741.295 Satin Transitional Water-Saving Handshower,American Standard,Ground,0,93,8
1660.743.002,012611445675,American Standard 1660.743.002,American Standard 1660.743.002 Chrome Transitional 3-Function Water-Saving Handshower,American Standard,Ground,0,84,8
